8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
NIKE,PCGK-1150,Nike Grind Change Plates - 0.5kg,STRENGTH,Barbells & Weight Plates - Weight Plates,C,0.4,17,140,16,1,0,0, $ -   ,91," $ 1,512 ",21.8%,2.8,30-Sep-2026,40,0,PO0033075,-0.02,,,
NIKE,DRCK-1018,Nike Strength Pro Urethane Dumbbell 18kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,13.2,4,0,0,4,0,0, $ -   ,10," $ 1,494 ",32.2%,0.3,,,,,0.00,,,
FORCE USA,F-RIG-LOGO,4FT Crossbar with Lasercut Force USA,STRENGTH,Rigs & Racks - Attachments,Obsolete,173.3,84,0,0,84,0,0, $ -   ,16," $ 1,491 ",20.5%,0.5,,,,,-0.02,,,
NIKE,DRCK-1012,Nike Strength Pro Urethane Dumbbell 12kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,14," $ 1,485 ",37.5%,0.4,,,,,0.56,,,
FORCE USA,F-XCALIBUR-BLACK,Force USA Xcalibur Olympic Collars Black,STRENGTH,Barbells & Weight Plates - Barbell Collars,C,417.1,316,0,0,316,0,1, $ 76 ,25," $ 1,484 ",53.2%,0.8,,,,,0.01,,,
FORCE USA,F-RDHPDB,Force USA Revolving D Handle Pulldown Bar,STRENGTH,Attachments - Cable Attachments,C,23.2,24,0,5,19,0,0, $ -   ,27," $ 1,475 ",58.9%,0.8,,,,,0.28,,,
FORCE USA,RHD47.5,Force USA Rubber Hex Dumbbells - 47.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,C,82.5,20,0,0,20,0,0, $ -   ,8," $ 1,455 ",55.9%,0.2,,,,,0.14,,,
CENTR,HYSKB6,Centr x Hyrox Youngstars Octo-Kettlebell 6kg,FUNCTIONAL,Hyrox,B,44,18,70,2,16,0,1, $ 133 ,12," $ 1,452 ",46.1%,0.4,15-Sep-2026,40,0,PO0033305,0.33,,,
NIKE,NRWL-1199,Nike Rolling Weight Bench - Black,STRENGTH,Benches - Flat,C,610.5,111,0,0,111,0,1, $ 100 ,6," $ 1,447 ",8.6%,0.2,,,,,0.00,,,
FORCE USA,F-C10-M-CHART,Force USA C10 Magnetic Exercise Chart,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,4.6,4,14,0,4,0,0, $ -   ,29," $ 1,447 ",30.2%,0.9,30-Sep-2026,4,0,PO0033157,1.45,,,
WATERROWER,150S4RETAIL,WaterRower Club S4,CARDIO,Rowers,Obsolete,0,0,0,0,0,0,0, $ -   ,1," $ 1,445 ",20.5%,0.0,,,,,0.00,,,
REP,BBA-4211-1,"REP Fitness Open Trap Bar W/ Narrow 23"" Handles",STRENGTH,Barbells & Weight Plates - Speciality Barbells,C,94.9,23,0,0,23,0,1, $ 172 ,8," $ 1,437 ",51.1%,0.2,,,,,0.05,,,
FORCE USA,F-SB6,Force USA Elite Slam Ball 6kg,FUNCTIONAL,Balls - Slam Balls,C,20.8,34,0,0,34,0,1, $ 27 ,54," $ 1,432 ",39.6%,1.6,,,,,0.22,,,
CENTR,FID5,"Centr Muli-Adjustable Flat, Incline, Decline, Workout Bench",STRENGTH,Benches - Adjustable,C,1303.5,79,0,0,79,0,0, $ -   ,2," $ 1,430 ",60.7%,0.1,,,,,0.00,,,
FORCE USA,F-SHD27.5,Force USA Straight Handle Hex Dumbbells - 27.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,4, $ 334 ,16," $ 1,425 ",42.7%,0.5,,,,,0.00,,,
FORCE USA,F-SHD15,Force USA Straight Handle Hex Dumbbell - 15kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,12, $ 354 ,32," $ 1,413 ",37.6%,1.0,,,,,0.00,,,
FORCE USA,F-SSHRG,Force USA Single Stirrup Handle With Rubber Grips,STRENGTH,Attachments - Cable Attachments,C,42,84,0,5,79,0,0, $ -   ,62," $ 1,397 ",67.8%,1.9,,,,,0.36,,,
CENTR,HWB12,CENTR x HYROX Wall Ball 12kg,FUNCTIONAL,Hyrox,C,57,26,5,7,19,0,2, $ 344 ,11," $ 1,396 ",33.8%,0.3,15-Nov-2026,5,0,PO0033468,0.11,,,
NIKE,DGHK-1132,Nike Hex Grind Dumbbell 32.5 KG,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,C,28.3,14,0,2,12,0,0, $ -   ,14," $ 1,393 ",0.0%,0.4,,,,,-0.02,,,
FORCE USA,F-MEDBALL5,Force USA Medicine Ball 5kg,FUNCTIONAL,Balls - Slam Balls,C,2,14,0,12,2,0,0, $ -   ,33," $ 1,379 ",43.3%,1.0,,,,,0.57,,,
FORCE USA,F-CARABINER-8,Force USA Oval Black Carabiner (rated to 400kg) Set of 8,STRENGTH,Attachments - Cable Attachments,C,0,1,40,1,0,2,0, $ -   ,97," $ 1,374 ",56.4%,2.9,30-Sep-2026,40,2,PO0033157,8.19,,,
REP,PR-5000-PU-125,"REP Fitness 1.25"" Standard Pull Up Bar for PR-5000",STRENGTH,Rigs & Racks - Attachments,C,0,0,42,0,0,10,0, $ -   ,17," $ 1,371 ",42.4%,0.5,15-Sep-2026,10,10,PO0033156,0.00,,,
FORCE USA,F-MULTI-LAT-BAR,Force USA Multi-Grip Lat Pulldown Bar,STRENGTH,Attachments - Cable Attachments,C,1.6,4,10,3,1,0,1, $ 73 ,21," $ 1,367 ",31.5%,0.6,30-Sep-2026,5,0,PO0033157,0.36,,,
FORCE USA,F-X20,Force USA X20 Pro Multi Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,0,0,0,0,0,0,0, $ -   ,1," $ 1,364 ",-90.7%,0.0,,,,,0.00,,,
FORCE USA,F-RSB,Force USA Revolving Straight Bar,STRENGTH,Attachments - Cable Attachments,C,96.5,160,0,5,155,0,4, $ 127 ,53," $ 1,351 ",60.9%,1.6,,,,,0.10,,,
NIKE,DRCK-1030,Nike Strength Pro Urethane Dumbbell 30kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,49.5,9,0,0,9,0,0, $ -   ,6," $ 1,350 ",32.7%,0.2,,,,,0.26,,,
CENTR,HYSPRL,Centr x Hyrox Youngstars Pull Rope with Loop,FUNCTIONAL,Hyrox,C,117,39,15,0,39,0,0, $ -   ,11," $ 1,346 ",68.4%,0.3,15-Nov-2026,15,0,PO0033468,0.38,,,
SMAI,RK1080B,Commercial Boxing Bag Stand,FUNCTIONAL,Training Aids,Non-stocked,0,0,0,0,0,0,0, $ -   ,2," $ 1,325 ",38.4%,0.1,,,,,0.00,,,
NIKE,DRDK-1012,Nike Hex Dumbbell - 12.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,1.7,1,0,0,1,0,0, $ -   ,20," $ 1,322 ",32.5%,0.6,,,,,0.85,,,
FORCE USA,F-SHD35,Force USA Straight Handle Hex Dumbbell - 35kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,2, $ 281 ,12," $ 1,318 ",40.8%,0.4,,,,,0.00,,,
FORCE USA,RHD1,Force USA Rubber Hex Dumbbells - 1kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,C,5.4,107,616,44,63,0,6, $ 16 ,384," $ 1,316 ",30.8%,11.6,30-Sep-2026,616,0,PO0033286,0.37,,,
NIKE,BSAP-0220,Nike Barbell 20 kg - Chrome Swoosh,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,792,96,0,0,96,0,0, $ -   ,4," $ 1,309 ",42.0%,0.1,,,,,0.00,,,
CENTR,HEUKB24,Elite 15 Hyrox Octo-Kettlebell 24kg,FUNCTIONAL,Hyrox,Non-stocked,41.3,6,0,1,5,0,0, $ -   ,4," $ 1,295 ",59.4%,0.1,,,,,0.00,,,
CENTR,HYSKB4,Centr x Hyrox Youngstars Octo-Kettlebell 4kg,FUNCTIONAL,Hyrox,C,49.5,18,70,0,18,0,1, $ 118 ,12," $ 1,293 ",45.9%,0.4,15-Sep-2026,40,0,PO0033305,0.32,,,
POWERBLOCK,505-00119-01,Powerblock Pro Commercial 125-175 Kit 57 -79 Kg,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,33,2,0,0,2,0,0, $ -   ,2," $ 1,280 ",41.9%,0.1,,,,,0.72,,,
NIKE,BCAR-0320,Nike Strength Shield Barbell 20 kg - Red Swoosh,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,407,38,0,1,37,0,0, $ -   ,3," $ 1,260 ",49.9%,0.1,,,,,0.00,,,
MORGAN SPORTS,CF-77,Morgan Wall Mounted Bumper Plate Rack,STRENGTH,Storage - Bar & Plate Storage,Obsolete,0,0,0,0,0,0,0, $ -   ,6," $ 1,245 ",28.4%,0.2,,,,,0.00,,,
FORCE USA,F-MR-MONO,Force USA - MyRack Mono-Lift Option,STRENGTH,Rigs & Racks - Attachments,Obsolete,553.7,151,0,0,151,0,0, $ -   ,9," $ 1,237 ",51.6%,0.3,,,,,0.02,,,
FORCE USA,F-SHD12.5,Force USA Straight Handle Hex Dumbbell - 12.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,12, $ 340 ,33," $ 1,232 ",36.6%,1.0,,,,,0.00,,,
FORCE USA,F-SHD40,Force USA Straight Handle Hex Dumbbell - 40kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,2, $ 321 ,10," $ 1,230 ",41.0%,0.3,,,,,0.00,,,
NIKE,DGHK-1102,Nike Hex Grind Dumbbell 2kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,C,0,6,180,6,0,24,0, $ -   ,106," $ 1,227 ",-11.6%,3.2,30-Sep-2026,40,24,PO0033075,-0.04,,,
FORCE USA,F-XCALIBUR-SILVER,Force USA Xcalibur Olympic Collars Silver,STRENGTH,Barbells & Weight Plates - Barbell Collars,C,927.7,508,0,2,506,0,-3, $ (270),18," $ 1,224 ",55.6%,0.5,,,,,0.01,,,
NIKE,DRCK-1022,Nike Strength Pro Urethane Dumbbell 22kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,24.8,6,0,0,6,0,0, $ -   ,8," $ 1,220 ",20.7%,0.2,,,,,0.00,,,
FORCE USA,F-R-SMF,Force USA Ridlgeline Standing Multi Flight Machine,COMMERCIAL,Plate Loaded - Dual Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1," $ 1,211 ",-34.9%,0.0,,,,,0.00,,,
INSPIRE,I-SCS-LE2,Inspire Leg Attachment,STRENGTH,All-In-One Trainers - All-In-One Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,9," $ 1,205 ",9.1%,0.3,,,,,0.00,,,
FORCE USA,F-MR-CHIN01,Force USA MyRack Chin Up Option 01 - Straight Bars,STRENGTH,Rigs & Racks - Attachments,Obsolete,20.2,12,0,1,11,0,0, $ -   ,18," $ 1,201 ",67.0%,0.5,,,,,0.28,,,
REP,PR-5002-RBS,REP Fitness Rear Base Stabilizer 2.0 PR-5000,STRENGTH,Rigs & Racks - Power Racks,C,42.4,10,0,1,9,0,0, $ -   ,7," $ 1,200 ",34.5%,0.2,,,,,0.08,,,
CENTR,HYSWB2,Centr x Hyrox Youngstars Wall Ball 2kg,FUNCTIONAL,Hyrox,C,49.5,18,65,0,18,0,0, $ -   ,12," $ 1,193 ",59.3%,0.4,15-Sep-2026,35,0,PO0033305,0.66,,,
IMPULSE,IFP1101-WX,Impulse IFP1101 Seated Shoulder Press,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1," $ 1,181 ",62.7%,0.0,,,,,0.00,,,
IMPULSE,IFP1302-WX,Impulse IFP1302 Seated Row,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1," $ 1,181 ",62.5%,0.0,,,,,0.00,,,
MORGAN SPORTS,PB-PROXL-6FT-FIL,Morgan 60kg V2 Endurance Foam Lined XL Punch Bag | 6ft x 42cm diameter,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,2," $ 1,181 ",61.9%,0.1,,,,,0.00,,,
FORCE USA,F-SHD50,Force USA Straight Handle Hex Dumbbell - 50kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,2, $ 402 ,8," $ 1,174 ",38.1%,0.2,,,,,0.00,,,
NIKE,DRDK-1015,Nike Hex Dumbbell - 15kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,9.4,6,0,2,4,0,1, $ 72 ,14," $ 1,154 ",37.8%,0.4,,,,,0.00,,,
NIKE,DRDK-1020,Nike Hex Dumbbell - 20kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,39,13,0,0,13,0,0, $ -   ,11," $ 1,151 ",38.9%,0.3,,,,,0.07,,,
FORCE USA,F-COREBAG15,Force USA Endurance Core Bag 15kg,FUNCTIONAL,Bags - Core Bags,C,28.1,17,0,0,17,0,1, $ 75 ,20," $ 1,145 ",48.8%,0.6,,,,,0.19,,,
CENTR,HYSWB1,Centr x Hyrox Youngstars Wall Ball 1kg,FUNCTIONAL,Hyrox,C,49.5,18,65,0,18,0,0, $ -   ,12," $ 1,143 ",53.5%,0.4,15-Sep-2026,35,0,PO0033305,0.53,,,
FORCE USA,F-STEELMUG,Force USA Steel Mug - 4kg,FUNCTIONAL,Training Aids,Obsolete,25.9,12,0,1,11,0,0, $ -   ,14," $ 1,143 ",31.2%,0.4,,,,,0.17,,,
CENTR,CBWTK,Centr Bodyweight Training Kit,FUNCTIONAL,Training Aids,Obsolete,6.2,4,0,1,3,0,3, $ 297 ,16," $ 1,136 ",5.8%,0.5,,,,,0.00,,,
FORCE USA,F-R-S,Force USA Ridlgeline Squat Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1," $ 1,103 ",-38.1%,0.0,,,,,0.00,,,
REP,PRA-5770-BASE-80,"Base Smith Attachment Structure, PR-4000/5000, 80"" â€‹",STRENGTH,Rigs & Racks - Attachments,A,132,4,10,0,4,0,0, $ -   ,1," $ 1,090 ",61.9%,0.0,15-Oct-2026,10,0,PO0033287,0.47,,,
NIKE,BSAP-0215,Nike Chrome Swoosh Barbell - 15 KG,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,123.8,16,0,1,15,0,0, $ -   ,4," $ 1,080 ",31.4%,0.1,,,,,0.00,,,
CENTR,HYSCH,Centr x Hyrox Youngstars Power Sled Frame Bar,FUNCTIONAL,Hyrox,C,117,39,41,0,39,0,0, $ -   ,11," $ 1,075 ",64.9%,0.3,15-Sep-2026,26,0,PO0033305,0.33,,,
FORCE USA,F-MEDBALL7,Force USA Medicine Ball 7kg,FUNCTIONAL,Balls - Slam Balls,C,31.4,27,0,7,20,0,0, $ -   ,21," $ 1,074 ",34.4%,0.6,,,,,0.02,,,
NIKE,DRCK-1010,Nike Strength Pro Urethane Dumbbell 10kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,30.3,11,0,0,11,0,0, $ -   ,12," $ 1,072 ",34.4%,0.4,,,,,0.13,,,
CENTR,HEBR,Elite 15 Hyrox Battle Rope - White,FUNCTIONAL,Hyrox,Non-stocked,49.5,5,0,2,3,0,0, $ -   ,2," $ 1,071 ",70.4%,0.1,,,,,0.00,,,
FORCE USA,F-TPDB,Force USA Tricep V Bar,STRENGTH,Attachments - Cable Attachments,C,24.5,32,0,3,29,0,3, $ 109 ,39," $ 1,064 ",67.1%,1.2,,,,,0.36,,,
FORCE USA,F-R-R,Force USA Ridgeline Row Machine,COMMERCIAL,Pin Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,1," $ 1,058 ",-33.0%,0.0,,,,,0.00,,,
FORCE USA,F-SHD45,Force USA Straight Handle Hex Dumbbell - 45kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,2, $ 362 ,8," $ 1,057 ",38.1%,0.2,,,,,0.00,,,
REP,FTA-5075-PS,REP Fitness Cable Attachment - Triangle Rowing Attachment - Pro Style,STRENGTH,Attachments - Cable Attachments,C,0,3,17,3,0,4,0, $ -   ,18," $ 1,047 ",13.7%,0.5,15-Sep-2026,10,4,PO0033156,0.00,,,
IMPULSE,IFP1605-WX,Impulse IFP1605 Seated Leg Extension,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1," $ 1,045 ",58.6%,0.0,,,,,0.00,,,
NIKE,DRDK-1010,Nike Hex Dumbbell - 10kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,21," $ 1,011 ",12.9%,0.6,,,,,0.00,,,
CENTR,CTB,Centr Resistance Bands with Handles,STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,31, $ 997 ,10.1%,0.9,,,,,0.00,,,
NIKE,DRDK-1017,Nike Hex Dumbbell - 17.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,15.2,6,0,0,6,0,0, $ -   ,13, $ 989 ,23.8%,0.4,,,,,0.00,,,
FORCE USA,F-SB5,Force USA Elite Slam Ball 5kg,FUNCTIONAL,Balls - Slam Balls,C,12.6,21,0,5,16,0,0, $ -   ,42, $ 988 ,48.2%,1.3,,,,,0.66,,,
FORCE USA,F-R-BC,Force USA Ridlgeline Biceps Curl Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1, $ 982 ,-33.1%,0.0,,,,,0.00,,,
REP,PRA-5152,REP Fitness Front Foot Extension PR-5000,STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,7, $ 977 ,41.0%,0.2,,,,,0.00,,,
FORCE USA,F-MEDBALL3,Force USA Medicine Ball 3kg,FUNCTIONAL,Balls - Slam Balls,C,40.7,41,0,4,37,0,0, $ -   ,30, $ 969 ,42.4%,0.9,,,,,0.22,,,
FORCE USA,F-RIG-7FTU,7FT Upright - Lasercut Holes & Numbers,STRENGTH,Rigs & Racks - Rigs,Obsolete,0,0,0,0,0,0,0, $ -   ,11, $ 966 ,32.3%,0.3,,,,,0.00,,,
FORCE USA,F-G20-V2-ALU,Force USA G20 Aluminium Pulley Upgrade,STRENGTH,Attachments - Cable Attachments,Obsolete,84.3,25,0,2,23,0,0, $ -   ,9, $ 960 ,46.1%,0.3,,,,,0.12,,,
REP,PR-4002-CR-24-MBLK-TWO,"REP Fitness Two 24"" Crossmembers PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,107.3,15,0,2,13,0,0, $ -   ,4, $ 946 ,71.0%,0.1,,,,,0.00,,,
FORCE USA,F-CRD60,Force USA Commercial Round Dumbbells - 60kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 944 ,57.7%,0.1,,,,,0.00,,,
FORCE USA,F-SHD10,Force USA Straight Handle Hex Dumbbell - 10kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,12, $ 280 ,31, $ 941 ,37.6%,0.9,,,,,0.00,,,
FORCE USA,F-HRM,Force USA Heart Rate Monitor,STRENGTH,Attachments - Other Attachments,Obsolete,214.5,455,0,0,455,0,2, $ -   ,70, $ 938 ,22.9%,2.1,,,,,0.00,,,
POWERBLOCK,503-00648-01,PowerBlock Sport EXP Stage 2 Kit (50-70),STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,44,8,0,0,8,0,0, $ -   ,6, $ 935 ,28.2%,0.2,,,,,0.08,,,
NIKE,DRCK-1040,Nike Strength Pro Urethane Dumbbell 40kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,99,12,0,0,12,0,0, $ -   ,4, $ 930 ,17.7%,0.1,,,,,0.00,,,
PTP,MTR FIRM LARGE,MASSAGE THERAPY FIRM - LARGE/FIRM-BLACK,RECOVERY,Massage Tools,Obsolete,0,0,0,0,0,0,0, $ -   ,16, $ 921 ,14.7%,0.5,,,,,0.00,,,
CENTR,CYM,Centr Yoga Mat,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,37, $ 920 ,-19.5%,1.1,,,,,0.00,,,
FORCE USA,F-G10-G15-SHELVES-TVM,Force USA G10 & G15 Shelves & TV Mount,STRENGTH,All in One attachment/upgrade,Obsolete,338.3,42,0,1,41,0,0, $ -   ,4, $ 913 ,17.9%,0.1,,,,,0.00,,,
NIKE,ZCAU-A199,Nike Barbell Collars - Grey / Black,STRENGTH,Barbells & Weight Plates - Barbell Collars,C,204.6,93,0,0,93,0,0, $ -   ,15, $ 911 ,31.3%,0.5,,,,,0.01,,,
REP,PRA-FT-DUALCABLE-02-6-9341-S,"PRA-FT-DUALCABLE-02-6-9341-S(Ares 2.0 Cable Package - 93"" - 41"" - 6)",,,C,0,3,7,3,0,3,0, $ -   ,7, $ 911 ,32.8%,0.2,31-Oct-2026,5,1,PO0033380,-0.25,,,
FORCE USA,F-2RDR,Force USA 2 Tier Round Dumbbell Rack,STRENGTH,Storage,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 909 ,-78.1%,0.1,,,,,0.00,,,
INSPIRE,I-FT20-LK,Inspire FT2 Leg Extension Conversion,STRENGTH,Attachments - Other Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,11, $ 908 ,59.2%,0.3,,,,,0.00,,,
FORCE USA,F-CRD57.5,Force USA Commercial Round Dumbbells - 57.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 905 ,57.6%,0.1,,,,,0.00,,,
NIKE,DRCK-1014,Nike Strength Pro Urethane Dumbbell 14kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,24.8,6,0,0,6,0,0, $ -   ,8, $ 897 ,31.3%,0.2,,,,,0.00,,,
X-Roar,F-CRD60-XROAR,X-ROAR Custom Commercial Round Dumbbells - 60kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 895 ,54.2%,0.1,,,,,0.00,,,
FORCE USA,F-RIG-BOX,Force USA RIG Box Safeties,STRENGTH,Rigs & Racks - Attachments,C,37.1,9,0,0,9,0,0, $ -   ,8, $ 887 ,37.3%,0.2,,,,,-0.03,,,
REP,FTA-5040-PS,REP Fitness Cable Attachment - Straight Bar Pro Style,STRENGTH,Attachments - Cable Attachments,C,0,0,17,0,0,3,0, $ -   ,16, $ 885 ,27.2%,0.5,15-Sep-2026,10,3,PO0033156,0.00,,,
FORCE USA,F-COREBAG5,Force USA Endurance Core Bag 5kg,FUNCTIONAL,Bags - Core Bags,C,19.5,13,0,0,13,0,1, $ 56 ,22, $ 879 ,53.9%,0.7,,,,,0.71,,,
NIKE,DRDK-1009,Nike Hex Dumbbell - 9kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,14.7,8,0,0,8,0,0, $ -   ,18, $ 878 ,22.9%,0.5,,,,,0.01,,,
POWERBLOCK,504-00116-01,Powerblock Pro EXP Stage 3 Kit,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,0,0,0,0,0,15,0, $ -   ,5, $ 874 ,33.6%,0.2,,,,,0.00,,,
NIKE,PBAK-1005,Nike Rubber Bumper Plates 5KG,STRENGTH,Barbells & Weight Plates - Bumper Plates,Non-stocked,0,2,6,2,0,0,0, $ -   ,22, $ 871 ,24.2%,0.7,30-Sep-2026,6,4,PO0033075,0.00,,,
FORCE USA,F-CRD55,Force USA Commercial Round Dumbbells - 55kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 865 ,57.6%,0.1,,,,,0.00,,,
FORCE USA,F-X15-X20-UPGRADE-V2,Force USA X15 & X20 Pro Upgrade Kit 2.0,STRENGTH,All-In-One Trainers - All-In-One Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,1, $ 864 ,40.0%,0.0,,,,,0.00,,,
NIKE,DRDK-1008,Nike Hex Dumbbell - 8kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,1.7,1,0,0,1,0,0, $ -   ,19, $ 862 ,24.2%,0.6,,,,,0.00,,,
X-Roar,F-CRD57.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 57.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 857 ,54.2%,0.1,,,,,0.00,,,
MORGAN SPORTS,CF-60,CROSS FUNCTIONAL FITNESS PULL UP RACK,,,Obsolete,0,0,0,0,0,0,0, $ -   ,5, $ 855 ,36.2%,0.2,,,,,0.00,,,
NIKE,ZCAU-1A99,Nike Strength Barbell Collars - Black/White,STRENGTH,Barbells & Weight Plates - Barbell Collars,C,406.3,198,0,1,197,0,0, $ -   ,16, $ 852 ,28.8%,0.5,,,,,0.01,,,
NIKE,DRCK-1006,Nike Strength Pro Urethane Dumbbell 6kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,20.6,10,0,0,10,0,0, $ -   ,16, $ 849 ,17.8%,0.5,,,,,0.03,,,
IMPULSE,IT7010EOPT,Impulse Ultimate Optional Chin Up Post (Fits onto IT7010),COMMERCIAL,Plate Loaded - Single Function,Obsolete,33,3,0,0,3,0,0, $ -   ,3, $ 847 ,30.6%,0.1,,,,,0.00,,,
S30,S30-RHD35,S30 Rubber Hex Dumbbells - 35kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,77,28,0,0,28,0,0, $ -   ,12, $ 845 ,6.1%,0.4,,,,,0.00,,,
FORCE USA,F-SB9,Force USA Elite Slam Ball 9kg,FUNCTIONAL,Balls - Slam Balls,C,50.2,35,0,0,35,0,0, $ -   ,23, $ 843 ,62.4%,0.7,,,,,0.41,,,
FORCE USA,OSC,Force USA Olympic Spring Collars - Pair,STRENGTH,Barbells & Weight Plates - Barbell Collars,Obsolete,54.4,212,0,6,206,0,1, $ 9 ,125, $ 836 ,65.8%,3.8,,,,,0.05,,,
FORCE USA,F-G6-B-ALU,Force USA G6 Aluminium Pulley Upgrade,STRENGTH,Attachments - Cable Attachments,Obsolete,330,40,0,0,40,0,0, $ -   ,4, $ 830 ,51.6%,0.1,,,,,0.01,,,
,RHD55,Rubber Hex Dumbbells - 55kg,,,Obsolete,49.5,6,0,0,6,0,0, $ -   ,4, $ 828 ,38.7%,0.1,,,,,0.00,,,
FORCE USA,F-CRD52.5,Force USA Commercial Round Dumbbells - 52.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 826 ,57.5%,0.1,,,,,0.00,,,
