8/10/2026,<< Data Refreshed Date,REVEL - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,,,Calendar Week:,33
,,,,,,,,,,,,,,,,,,,,,,
Item Name,Item Description,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD , GP % YTD ,YTD WEEKLY ROS,Order ETA,Next Order Quantity,Allocated Demand,Next PO,,,,
R-ICEDUO-V3-TUB,Revel Glacier Duo Tub - Cedar Ice Bath,Ice Baths,66,59,0,7,52,0,1," $ 2,050 ",26," $ 86,074 ",32.7%,1,,,,,,,,
R-TR-PREM-2P,Revel Loom 2 Person Traditional Finnish Sauna (No Heater),Saunas,48,20,14,1,19,0,2," $ 13,635 ",13," $ 81,023 ",65.6%,0,15-Aug-2026,4,0,PO0033391,,,,
R-BT-8P-V2,Revel Eden - 8 Person Traditional Barrel Sauna (No Heater),Saunas,72,25,10,1,24,0,1," $ 5,127 ",11," $ 59,798 ",55.8%,0,15-Sep-2026,3,0,PO0032755,,,,
R-FI-2P-V2,Revel Kora 2 Person Far Infrared Sauna,Saunas,1,13,315,12,1,13,3," $ 5,135 ",37," $ 100,219 ",52.3%,1,05-Oct-2026,7,6,PO0033078,,,,
R-FI-3P-V3,Revel Kora 3 Person Far Infrared Sauna,Saunas,3,6,195,4,2,0,0, $ -   ,21," $ 68,347 ",54.2%,1,10-Oct-2026,9,0,PO0033189,,,,
R-FI-3P,Revel Kora 3 Person Far Infrared Sauna,Saunas,2,1,0,0,1,0,0, $ -   ,14," $ 42,663 ",43.6%,0,,,,,,,,
R-SAUNAREDLIGHT,Revel Helio Red Light & Stand,Massage Tools,1,1,20,0,1,8,0, $ -   ,31," $ 37,333 ",32.1%,1,28-Aug-2026,20,6,PO0033072,,,,
R-ICECHILL-SY-10-I,Revel Chiller - Ice 1.0HP - SY ICE,Ice Baths,165,68,0,3,65,0,0, $ -   ,13," $ 38,804 ",35.9%,0,,,,,,,,
R-ICEACRYLIC-BLACK,Revel Edur Noir Ice Bath,Ice Baths,20,6,0,0,6,0,0, $ -   ,10," $ 37,951 ",29.8%,0,,,,,,,,
R-FI-3P-V2,Revel Kora 3 Person Far Infrared Sauna,Saunas,7,2,0,0,2,0,0, $ -   ,10," $ 35,197 ",56.4%,0,,,,,,,,
R-ICESOLO-V2-TUB,Revel Glacier Solo Tub - Cedar Ice Bath,Ice Baths,2,3,0,2,1,0,0, $ -   ,14," $ 32,075 ",22.6%,0,,,,,,,,
R-ICE-ALLINONE-WHT,Revel Glasur All in One Ice Bath - White,Ice Baths,79,13,0,1,12,0,0, $ -   ,5," $ 29,929 ",47.3%,0,,,,,,,,
R-BFS-CEDAR-3P,Revel Luna 3 Person Cedar Infrared Barrel Sauna,Saunas,5,1,0,0,1,0,0, $ -   ,7," $ 28,706 ",1.6%,0,,,,,,,,
R-TR-1P-V2,Revel Tampere 1 Person Traditional Finnish Sauna with Step,Saunas,0,0,0,0,0,0,0, $ -   ,10," $ 26,397 ",48.4%,0,,,,,,,,
R-ICESOLO-V2,Revel Glacier Solo - Cedar Ice Bath,Ice Baths,8,2,0,0,2,0,0, $ -   ,8," $ 25,324 ",1.5%,0,,,,,,,,
R-CS-2P,Revel NordicWave 2 Person Infrared & Traditional Hybrid Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,7," $ 23,523 ",42.9%,0,,,,,,,,
R-BT-4P,Revel Eden - 4 Person Traditional Barrel Sauna,Saunas,7,1,0,0,1,0,0, $ -   ,5," $ 23,401 ",56.9%,0,,,,,,,,
R-TR-3P-V2,Revel Tampere 3 Person Traditional Finnish Sauna with Step,Saunas,9,2,0,0,2,0,0, $ -   ,7," $ 22,592 ",33.7%,0,,,,,,,,
R-FS-CABIN-2P,Revel Eclipse 2-3 Person Full Spectrum Infrared Cabin,Saunas,17,2,0,0,2,0,0, $ -   ,4," $ 11,530 ",-20.8%,0,,,,,,,,
R-ICEACRYK-BLK-TUB,Revel Edur Noir Ice Bath Tub - Acrylic Ice Bath,Ice Baths,112,40,0,6,34,0,0, $ -   ,10," $ 21,613 ",46.7%,0,,,,,,,,
R-RF1,Revel Ice Bath 20 Micron Filter Cartridge,Ice Baths,17,595,0,12,583,0,22, $ 407 ,"1,124"," $ 18,668 ",59.8%,34,,,,,,,,
R-TR-VAL-4P,Revel Kuusi 4 Person Traditional Finnish Sauna (No heater),Saunas,69,24,19,3,21,0,0, $ -   ,10," $ 44,034 ",62.6%,0,10-Dec-2026,7,0,PO0033347,,,,
R-CHILL-PUMPFILT,Revel Commercial Pump Filter,Ice Baths,41,47,0,11,36,3,0, $ -   ,29," $ 17,904 ",65.5%,1,,,,,,,,
R-HAT-WHITE,Revel Sauna Hat - Premium 100% Wool Heat Shield - White,Saunas,14,208,300,37,171,0,7, $ 199 ,417," $ 17,071 ",63.7%,13,01-Nov-2026,300,0,PO0033269,,,,
R-TR-CAB-3P-V2,Revel Solaris 3-4 Person Traditional Cabin (No Heater),Saunas,149,22,20,4,18,0,1," $ 6,113 ",4," $ 26,418 ",61.7%,0,20-Aug-2026,7,0,PO0032754,,,,
R-CHILLER-M,Revel Chiller - 1.0HP,Ice Baths,8,1,0,0,1,0,0, $ -   ,4," $ 7,121 ",-66.5%,0,,,,,,,,
R-ICEDUO-V2,Revel Glacier Duo - Cedar Ice Bath,Ice Baths,8,1,0,0,1,0,0, $ -   ,4," $ 13,896 ",-5.5%,0,,,,,,,,
R-FS-4P,Revel Aura 3 Person Full Spectrum Infrared Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,4," $ 12,102 ",43.4%,0,,,,,,,,
